don't shoot	ከይትትኲስ
friendly	ፈታዊ
gun	ብረት
jeep	ጂፕ
kilometer	ኪሎሜትር
knife	ካራ
leader	መራሒ
machine gun	ረሻሽ
mine	ነታጒ
missile	ሚሳይል
mortar	ሞርታር
officer	መኰንን
pistol	ሽጉጥ
plane	ነፋሪት
protection	ምክልኻል
refugee	ስደተኛ
rifle	ጠበንጃ
rocket	ተወንጫፊ
rocket launcher	መወንጨፊ
shelter	መጸግዒ
ship	መርከብ
sniper	ተኳሲ
soldier	ወተሃደር
tank	ታንኪ
tent	ድኳን
trailer	ተጐታቲት
unit	ኣሃዱ
weapons	መሳርያታት
angle	ኵርናዕ
azimuth	ኣዚሙዝ
compass	ኮምፓስ
demolition	ዕንዋ
metallic	ስርሓት-ብረት
mine	ነታጒ
non-metallic	ዘይብረታዊ
pace	ስጕሚ
tree	ኦም
tape	ሸሪጥ
yes	እወ
no	ኣይኰነን
show me	ኣርእየኒ
please	በጃኻ
thank you	የቐንየለይ
you are welcome	ገንዘብካ
is it functional	ይሰርሕዶ
please	በጃኻ
thank you	የቐንየለይ
you are welcome	ገንዘብካ
no	ኣይኰነን
show me	ኣርእየኒ
yes	እወ
don't move	ከይትንቀሳቐስ
keep very still	ኣይትነቓነቕ
push against me	ድፍአኒ
cough	ሰዓል
open	ክፈቶ
turn around	ተጠወ
come with me	ተኸተለኒ
chills	ምቊራር
cough	ምስዓል
diarrhea	ውጽኣት
fever	ረስኒ
hemorrhoids	ኦሞርድያ
infection	ረኽሲ
itching	ሳሒ
nausea	ስግድግድታ
rash	ዕንፍሩር
vomiting	ተምላስ
take by mouth	ወሓጦ
tablet	ከኒና
capsule	ከኒና
puff	በዀዅታ
spray	ምርሽራሽ
patch	ልጣፍ
drop	ንጣብ
suppository	ተረኳዒ-ፈውሲ
today	ሎሚ
now	ሕጂ
tomorrow	ጽባሕ
pain	ቃንዛ
fever	ረስኒ
infection	ረኽሲ
congestion	ጥርናቐ
cough	ጕንፋዕ
do you understand	ይርደአካዶ
1	ሓደ
2	ክልተ
3	ሰለስተ
4	ኣርባዕተ
5	ሓሙሽተ
6	ሽዱሽተ
7	ሸውዓተ
8	ሸሞንተ
9	ትሽዓተ
10	ዓሰርተ
11	ዓሰርተ-ሓደ
12	ዓሰርተ-ክልተ
13	ዓሰርተ-ሰለስተ
14	ዓሰርተ-ኣርባዕተ
15	ዓሰርተ-ሓሙሽተ
16	ዓሰርተ-ሽዱሽተ
17	ዓሰርተ-ሸውዓተ
18	ዓሰርተ-ሸሞንተ
19	ዓሰርተ-ትሽዓተ
20	ዕስራ
30	ሰላሳ
40	ኣርብዓ
50	ሓምሳ
60	ስሳ
70	ሰብዓ
80	ሰማንያ
90	ተስዓ
100	ምኢቲ
500	ሓሙሽተ-ምኢቲ
1,000	ሽሕ
10,000	ዓሰርተ-ስሕ
100,000	ምኢቲ-ሽሕ
1,000,000	ሚልዮን
aids	ኤይድስ
anemia	ዋሕዲ-ደም
arthritis	ቅርጥማት
asthma	ኣዝማ
cancer	መንሽሮ
chickenpox	ፍሮማይ
diabetes	ሽኮርያ
fungus	ዕሲ'
gonorrhea	ጅግል
hepatitis	ወይቦ
influenza	ኢንፍሉወንዛ
malaria	ዓሶ
measles	ንፍዮ
mumps	ጽግዕ
plague	ፌራ
ringworm	ተውሳስ
scabies	ዓበቕ
scarlet fever	ፍሮማይ
scurvy	ሰከርቪ
smallpox	በዲዶ
syphilis	ፍንጣጣ
tapeworm infection	ሓቢ
tetanus	ተታኑስ
trichinosis	ፈገ'
typhoid fever	ቲፎ
warts	ጡብ-ኣድጊ
